SCSSP1,SCSSP2,SCSSP3,SCSSP4,SCSSP5,SCSSP6,SCSSP7,SQSP1,SQSP2,SQSP3,SQSP4,SQSP5,SQSP6,SQSP7,SSSP1,SSSP2,SSSP3,SSSP4,SSSP5,SSSP6,SSSP7,VCSSP1,VCSSP2,VCSSP3,VCSSP4,VCSSP5,VCSSP6,VCSSP7,VQSP1,VQSP2,VQSP3,VQSP4,VQSP5,VQSP6,VQSP7,VSSSP1,VSSSP2,VSSSP3,VSSSP4,VSSSP5,VSSSP6,VSSSP7,SCSTotal,SQTotal,SSSTotal,VCSTotal,VQTotal,VSSTotal,TaskModality,CS1,CS2,CS3,CS4,CS5,CS6,CS7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,SS1,SS2,SS3,SS4,SS5,SS6,SS7,TOTALCS,TOTALQ,TOTALSS
4,5,5,6,5,5,5,4,3,4,3,2,2,1,6,4,7,2,3,2,3,11,12,14,14,16,16,14,12,11,9,13,12,10,9,11,12,14,13,14,14,11,35,19,27,97,76,89,spatial,4,5,5,6,5,5,5,4,3,4,3,2,2,1,6,4,7,2,3,2,3,35,19,27
5,7,5,5,7,4,2,3,7,6,6,7,10,9,1,7,6,5,7,4,4,2,4,4,7,8,8,6,3,4,5,7,5,5,4,3,2,3,1,4,5,3,35,48,34,39,33,21,spatial,5,7,5,5,7,4,2,3,7,6,6,7,10,9,1,7,6,5,7,4,4,35,48,34
6,8,4,8,9,9,7,8,7,5,9,10,12,9,7,9,7,8,12,12,8,0,4,9,6,11,11,8,1,1,2,3,5,5,2,0,2,1,2,4,6,6,51,60,63,49,19,21,spatial,6,8,4,8,9,9,7,8,7,5,9,10,12,9,7,9,7,8,12,12,8,51,60,63
2,1,4,6,8,6,2,1,2,1,1,4,1,2,1,3,5,3,4,3,3,2,2,1,3,5,5,2,0,0,0,2,3,3,1,0,2,4,5,4,5,2,29,12,22,20,9,22,spatial,2,1,4,6,8,6,2,1,2,1,1,4,1,2,1,3,5,3,4,3,3,29,12,22
0,2,3,6,8,12,8,2,2,2,2,7,9,8,1,3,3,3,8,10,8,1,5,5,6,6,7,6,1,1,5,6,8,6,5,2,4,5,6,4,9,8,39,32,36,36,32,38,spatial,0,2,3,6,8,12,8,2,2,2,2,7,9,8,1,3,3,3,8,10,8,39,32,36
0,4,8,11,11,14,14,1,2,5,9,13,10,6,1,3,8,10,15,12,10,0,2,1,3,4,4,2,1,2,3,5,7,5,5,0,1,2,3,4,4,3,62,46,59,16,28,17,spatial,0,4,8,11,11,14,14,1,2,5,9,13,10,6,1,3,8,10,15,12,10,62,46,59
7,6,9,6,8,7,8,4,5,7,6,7,3,3,5,4,6,8,9,7,1,2,6,7,7,9,8,4,1,2,1,3,2,3,5,1,4,3,3,3,7,4,51,35,40,43,17,25,spatial,7,6,9,6,8,7,8,4,5,7,6,7,3,3,5,4,6,8,9,7,1,51,35,40
13,11,15,13,11,10,9,13,13,15,14,13,14,16,13,14,15,13,13,12,10,0,0,0,2,3,4,2,0,0,1,1,1,0,0,0,1,1,3,3,2,1,82,98,90,11,3,11,spatial,13,11,15,13,11,10,9,13,13,15,14,13,14,16,13,14,15,13,13,12,10,82,98,90
2,1,2,3,3,4,0,2,0,3,6,4,5,6,4,5,3,8,6,7,4,1,1,4,6,6,11,7,1,1,3,2,3,5,4,1,2,4,6,6,6,5,15,26,37,36,19,30,spatial,2,1,2,3,3,4,0,2,0,3,6,4,5,6,4,5,3,8,6,7,4,15,26,37
0,0,1,1,1,1,0,1,1,2,2,4,3,1,1,1,1,1,3,2,1,1,3,6,7,8,7,6,1,2,1,1,5,5,6,0,1,0,4,9,6,4,4,14,10,38,21,24,spatial,0,0,1,1,1,1,0,1,1,2,2,4,3,1,1,1,1,1,3,2,1,4,14,10
4,6,7,9,10,10,11,5,6,8,10,12,9,10,5,4,6,9,8,10,8,1,2,3,3,3,4,0,0,0,0,0,0,0,0,2,3,3,2,2,1,3,57,60,50,16,0,16,spatial,4,6,7,9,10,10,11,5,6,8,10,12,9,10,5,4,6,9,8,10,8,57,60,50
1,2,1,1,4,3,3,0,0,0,1,1,1,1,0,0,1,0,0,1,0,3,4,10,10,8,10,6,2,3,8,8,10,10,10,3,2,6,8,4,5,6,15,4,2,51,51,34,spatial,1,2,1,1,4,3,3,0,0,0,1,1,1,1,0,0,1,0,0,1,0,15,4,2
11,13,10,13,10,11,8,11,8,12,10,13,11,12,10,8,13,10,11,13,14,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,76,77,79,4,2,3,spatial,11,13,10,13,10,11,8,11,8,12,10,13,11,12,10,8,13,10,11,13,14,76,77,79
4,5,4,8,9,8,7,6,5,4,6,4,4,4,5,4,6,8,11,9,6,0,1,4,4,2,1,0,0,0,0,0,0,4,4,0,2,1,3,1,3,3,45,33,49,12,8,13,spatial,4,5,4,8,9,8,7,6,5,4,6,4,4,4,5,4,6,8,11,9,6,45,33,49
6,8,6,4,6,8,11,5,9,8,8,10,9,5,4,7,7,7,9,9,8,3,3,11,11,10,11,10,3,3,6,9,11,13,13,4,6,5,8,9,14,12,49,54,51,59,58,58,spatial,6,8,6,4,6,8,11,5,9,8,8,10,9,5,4,7,7,7,9,9,8,49,54,51
5,5,4,6,7,8,6,4,5,8,9,13,12,11,1,2,5,5,11,10,7,2,2,3,2,5,4,1,0,0,1,1,1,2,2,2,3,1,2,1,0,0,41,62,41,19,7,9,spatial,5,5,4,6,7,8,6,4,5,8,9,13,12,11,1,2,5,5,11,10,7,41,62,41
7,9,5,9,10,10,8,11,11,12,9,12,10,6,3,4,3,6,8,6,2,2,1,1,6,7,4,1,1,2,3,4,5,4,5,1,3,5,6,8,8,5,58,71,32,22,24,36,spatial,7,9,5,9,10,10,8,11,11,12,9,12,10,6,3,4,3,6,8,6,2,58,71,32
10,11,13,10,15,14,14,8,9,11,14,13,10,11,10,11,11,14,16,16,13,5,9,10,14,12,14,12,8,8,8,9,6,12,10,8,7,12,12,12,13,12,87,76,91,76,61,76,spatial,10,11,13,10,15,14,14,8,9,11,14,13,10,11,10,11,11,14,16,16,13,87,76,91
1,2,1,7,7,8,8,3,4,4,6,6,6,5,2,1,7,7,8,7,6,3,3,8,9,7,7,5,0,0,2,2,2,3,3,1,0,5,6,6,5,1,34,34,38,42,12,24,spatial,1,2,1,7,7,8,8,3,4,4,6,6,6,5,2,1,7,7,8,7,6,34,34,38
9,11,10,13,10,13,13,8,10,11,13,12,15,12,9,10,11,12,14,12,15,15,14,16,14,15,12,11,6,8,10,8,8,10,9,13,12,14,10,13,13,13,79,81,83,97,59,88,spatial,9,11,10,13,10,13,13,8,10,11,13,12,15,12,9,10,11,12,14,12,15,79,81,83
9,8,8,9,13,12,10,3,6,6,8,6,7,7,8,8,9,9,9,12,10,5,7,7,12,12,9,8,2,3,4,4,5,7,3,2,5,4,4,8,8,8,69,43,65,60,28,39,spatial,9,8,8,9,13,12,10,3,6,6,8,6,7,7,8,8,9,9,9,12,10,69,43,65
2,5,6,6,9,7,4,3,3,4,6,5,7,6,0,1,2,4,7,7,4,3,5,2,1,2,2,1,3,3,0,4,3,1,1,3,0,0,2,3,2,0,39,34,25,16,15,10,spatial,2,5,6,6,9,7,4,3,3,4,6,5,7,6,0,1,2,4,7,7,4,39,34,25
14,15,15,16,14,13,12,11,14,14,15,11,13,14,14,14,15,13,13,15,14,1,3,5,7,10,10,9,4,5,6,7,10,9,10,1,2,6,6,7,5,5,99,92,98,45,51,32,spatial,14,15,15,16,14,13,12,11,14,14,15,11,13,14,14,14,15,13,13,15,14,99,92,98
0,0,3,6,9,11,10,0,3,4,6,13,11,8,0,0,2,4,11,12,7,5,8,12,10,12,14,12,1,3,4,7,11,13,15,5,8,7,10,11,11,11,39,45,36,73,54,63,spatial,0,0,3,6,9,11,10,0,3,4,6,13,11,8,0,0,2,4,11,12,7,39,45,36
2,1,1,1,5,6,4,0,0,3,3,4,5,2,3,2,4,4,2,6,4,1,1,2,2,4,5,3,2,2,2,2,5,3,2,1,2,4,3,4,3,3,20,17,25,18,18,20,spatial,2,1,1,1,5,6,4,0,0,3,3,4,5,2,3,2,4,4,2,6,4,20,17,25
2,0,2,2,0,2,3,0,2,2,5,8,8,4,0,0,0,1,3,4,1,0,1,2,4,6,6,5,0,0,0,0,2,4,3,0,1,3,6,4,4,3,11,29,9,24,9,21,spatial,2,0,2,2,0,2,3,0,2,2,5,8,8,4,0,0,0,1,3,4,1,11,29,9
2,4,6,6,9,6,2,4,4,4,4,4,3,1,2,3,2,4,6,7,5,0,0,4,1,3,2,2,0,0,1,1,1,3,2,0,1,3,3,5,4,1,35,24,29,12,8,17,spatial,2,4,6,6,9,6,2,4,4,4,4,4,3,1,2,3,2,4,6,7,5,35,24,29
4,8,8,9,9,8,4,4,3,7,9,9,6,6,3,7,6,8,8,4,4,0,4,5,5,6,7,4,2,5,4,5,5,7,5,0,1,3,4,2,6,5,50,44,40,31,33,21,spatial,4,8,8,9,9,8,4,4,3,7,9,9,6,6,3,7,6,8,8,4,4,50,44,40
7,11,7,9,5,7,4,4,5,5,5,5,4,2,2,1,1,2,3,3,1,0,2,4,2,5,6,4,0,2,4,3,3,5,3,0,1,3,3,2,3,1,50,30,13,23,20,13,spatial,7,11,7,9,5,7,4,4,5,5,5,5,4,2,2,1,1,2,3,3,1,50,30,13
7,7,10,8,13,13,11,9,11,11,13,13,13,14,6,12,10,12,13,13,12,0,1,1,1,4,6,5,0,0,0,3,3,3,4,2,2,3,1,0,1,1,69,84,78,18,13,10,spatial,7,7,10,8,13,13,11,9,11,11,13,13,13,14,6,12,10,12,13,13,12,69,84,78
5,6,8,5,4,6,3,1,3,1,0,3,5,5,1,2,3,7,8,7,5,6,6,9,7,9,13,11,2,4,7,6,10,9,8,7,10,8,8,7,10,8,37,18,33,61,46,58,spatial,5,6,8,5,4,6,3,1,3,1,0,3,5,5,1,2,3,7,8,7,5,37,18,33
2,6,6,4,5,5,4,4,6,6,8,8,7,4,2,5,5,6,9,9,7,3,3,6,6,3,4,4,0,1,2,1,3,4,3,0,2,2,2,2,4,5,32,43,43,29,14,17,spatial,2,6,6,4,5,5,4,4,6,6,8,8,7,4,2,5,5,6,9,9,7,32,43,43
3,2,3,8,8,9,8,5,7,10,13,11,9,8,2,2,5,7,9,12,11,1,2,5,6,2,4,4,1,3,5,7,5,3,2,2,3,6,4,5,5,3,41,63,48,24,26,28,spatial,3,2,3,8,8,9,8,5,7,10,13,11,9,8,2,2,5,7,9,12,11,41,63,48
5,7,9,8,6,8,4,5,4,7,5,3,6,6,4,6,7,5,8,6,5,2,10,9,11,10,8,7,6,8,12,13,8,11,8,8,11,16,12,11,13,10,47,36,41,57,66,81,spatial,5,7,9,8,6,8,4,5,4,7,5,3,6,6,4,6,7,5,8,6,5,47,36,41
7,7,11,10,10,10,10,2,5,5,6,9,9,7,2,5,7,10,7,7,6,1,1,4,1,4,1,4,0,0,0,1,3,2,0,0,2,2,2,3,2,3,65,43,44,16,6,14,spatial,7,7,11,10,10,10,10,2,5,5,6,9,9,7,2,5,7,10,7,7,6,65,43,44
0,0,2,1,2,3,2,1,1,2,1,2,3,2,0,1,2,1,2,2,3,1,1,2,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,10,12,11,9,2,2,spatial,0,0,2,1,2,3,2,1,1,2,1,2,3,2,0,1,2,1,2,2,3,10,12,11
6,8,7,4,6,8,4,9,6,9,10,12,13,7,8,6,7,8,9,8,4,8,11,9,10,10,11,9,6,7,10,9,11,9,6,6,8,8,6,9,12,9,43,66,50,68,58,58,spatial,6,8,7,4,6,8,4,9,6,9,10,12,13,7,8,6,7,8,9,8,4,43,66,50
9,13,12,14,12,12,12,7,7,8,10,11,10,8,11,10,15,13,12,9,8,1,4,5,5,7,11,10,0,2,3,2,5,7,6,0,2,3,4,9,8,8,84,61,78,43,25,34,spatial,9,13,12,14,12,12,12,7,7,8,10,11,10,8,11,10,15,13,12,9,8,84,61,78
4,8,5,6,6,9,9,7,12,11,8,10,6,5,7,8,9,9,13,11,9,5,5,6,8,8,7,6,5,5,6,7,7,7,6,4,2,3,9,8,9,8,47,59,66,45,43,43,spatial,4,8,5,6,6,9,9,7,12,11,8,10,6,5,7,8,9,9,13,11,9,47,59,66
5,2,6,6,8,9,6,6,5,9,6,10,10,10,4,7,5,8,8,7,8,1,3,4,5,8,8,5,0,1,4,3,8,5,3,1,2,2,1,8,6,6,42,56,47,34,24,26,spatial,5,2,6,6,8,9,6,6,5,9,6,10,10,10,4,7,5,8,8,7,8,42,56,47
7,8,9,11,12,11,10,9,8,10,11,10,13,8,6,7,5,7,11,11,9,0,4,4,5,7,8,7,1,2,5,4,5,5,5,1,1,1,4,6,9,8,68,69,56,35,27,30,spatial,7,8,9,11,12,11,10,9,8,10,11,10,13,8,6,7,5,7,11,11,9,68,69,56
1,3,5,6,5,6,6,2,3,3,3,3,4,4,3,4,5,7,6,7,7,0,1,2,2,6,7,5,1,3,2,2,5,4,5,0,3,2,6,3,1,2,32,22,39,23,22,17,spatial,1,3,5,6,5,6,6,2,3,3,3,3,4,4,3,4,5,7,6,7,7,32,22,39
8,11,10,13,12,11,10,7,9,11,9,11,11,11,13,10,10,14,13,12,7,3,4,7,7,9,10,6,2,3,5,5,5,4,4,4,3,4,4,8,10,9,75,69,79,46,28,42,spatial,8,11,10,13,12,11,10,7,9,11,9,11,11,11,13,10,10,14,13,12,7,75,69,79
5,7,6,8,10,9,3,7,8,9,6,7,5,5,9,4,9,8,8,7,4,0,0,2,4,9,9,11,2,1,2,2,2,8,7,1,1,5,3,10,11,9,48,47,49,35,24,40,spatial,5,7,6,8,10,9,3,7,8,9,6,7,5,5,9,4,9,8,8,7,4,48,47,49
9,8,7,13,10,12,10,9,8,11,8,6,12,13,6,7,6,10,11,11,9,1,1,2,3,4,4,3,0,0,1,1,4,4,1,1,0,0,0,4,3,2,69,67,60,18,11,10,spatial,9,8,7,13,10,12,10,9,8,11,8,6,12,13,6,7,6,10,11,11,9,69,67,60
4,5,5,6,4,4,4,7,10,7,6,5,8,5,4,6,6,7,10,9,8,3,8,6,9,12,8,7,2,4,7,7,8,9,8,2,3,9,7,10,8,7,32,48,50,53,45,46,spatial,4,5,5,6,4,4,4,7,10,7,6,5,8,5,4,6,6,7,10,9,8,32,48,50
3,5,4,3,6,5,5,5,6,6,8,7,6,4,6,9,7,4,7,8,7,1,3,6,6,11,11,8,2,3,2,4,4,4,3,1,2,3,1,4,5,2,31,42,48,46,22,18,spatial,3,5,4,3,6,5,5,5,6,6,8,7,6,4,6,9,7,4,7,8,7,31,42,48
2,3,6,9,8,9,4,3,3,1,5,9,10,5,0,2,5,5,5,5,3,13,12,13,13,15,15,12,4,6,5,9,13,7,10,5,5,6,10,12,13,13,41,36,25,93,54,64,spatial,2,3,6,9,8,9,4,3,3,1,5,9,10,5,0,2,5,5,5,5,3,41,36,25
7,10,14,11,10,12,12,7,9,5,9,7,7,4,8,10,9,14,12,12,11,2,4,9,11,11,11,9,3,4,4,7,11,9,10,4,6,7,7,10,8,8,76,48,76,57,48,50,spatial,7,10,14,11,10,12,12,7,9,5,9,7,7,4,8,10,9,14,12,12,11,76,48,76
2,6,9,9,11,7,5,8,9,12,13,11,12,11,3,6,5,8,12,9,11,12,12,12,13,14,11,13,14,14,10,13,14,14,14,12,12,11,12,13,12,11,49,76,54,87,93,83,spatial,2,6,9,9,11,7,5,8,9,12,13,11,12,11,3,6,5,8,12,9,11,49,76,54
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,5,7,9,9,9,11,9,4,4,7,9,6,9,8,1,3,4,3,4,7,6,3,0,4,59,47,28,spatial,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,4
4,6,4,7,8,8,8,5,3,3,2,3,4,5,4,6,3,6,7,5,4,2,3,3,5,7,4,2,0,2,2,6,4,2,0,0,1,2,1,1,0,0,45,25,35,26,16,5,spatial,4,6,4,7,8,8,8,5,3,3,2,3,4,5,4,6,3,6,7,5,4,45,25,35
6,9,7,9,6,9,9,7,7,6,9,11,10,9,7,7,10,7,7,8,7,5,8,9,10,7,11,8,5,7,5,5,4,7,2,3,0,4,3,6,7,6,55,59,53,58,35,29,spatial,6,9,7,9,6,9,9,7,7,6,9,11,10,9,7,7,10,7,7,8,7,55,59,53
2,2,1,1,1,0,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,5,5,9,7,10,9,6,3,4,7,7,9,7,8,2,4,7,9,8,8,8,7,7,6,51,45,46,spatial,2,2,1,1,1,0,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,7,7,6
7,7,9,13,11,14,14,7,10,11,14,14,11,11,7,7,9,10,14,13,13,5,8,9,11,10,12,10,5,8,7,9,9,6,8,2,8,9,9,11,10,9,75,78,73,65,52,58,spatial,7,7,9,13,11,14,14,7,10,11,14,14,11,11,7,7,9,10,14,13,13,75,78,73
5,7,8,7,10,10,7,8,7,8,11,8,7,9,5,9,7,9,11,8,8,2,2,4,6,6,6,6,0,1,3,3,3,3,1,1,2,2,2,3,3,2,54,58,57,32,14,15,spatial,5,7,8,7,10,10,7,8,7,8,11,8,7,9,5,9,7,9,11,8,8,54,58,57
1,1,2,3,5,6,4,2,3,2,1,3,4,4,3,4,3,4,5,6,3,9,12,11,14,10,13,10,3,7,8,11,12,12,6,2,6,4,9,12,11,9,22,19,28,79,59,53,spatial,1,1,2,3,5,6,4,2,3,2,1,3,4,4,3,4,3,4,5,6,3,22,19,28
15,12,13,12,13,13,12,13,13,13,14,13,9,10,11,14,14,12,16,15,14,2,4,4,6,5,7,7,0,2,3,4,6,5,4,3,2,3,4,4,5,3,90,85,96,35,24,24,spatial,15,12,13,12,13,13,12,13,13,13,14,13,9,10,11,14,14,12,16,15,14,90,85,96
6,7,11,8,10,9,6,7,7,7,6,6,8,5,6,7,7,7,9,7,9,0,2,0,4,5,3,2,3,3,1,2,5,6,6,1,1,1,3,3,2,1,57,46,52,16,26,12,spatial,6,7,11,8,10,9,6,7,7,7,6,6,8,5,6,7,7,7,9,7,9,57,46,52
0,0,1,2,2,2,1,2,1,3,3,5,5,1,2,2,2,4,3,5,4,0,3,3,4,4,5,1,0,2,2,6,6,5,0,1,5,5,5,4,6,4,8,20,22,20,21,30,spatial,0,0,1,2,2,2,1,2,1,3,3,5,5,1,2,2,2,4,3,5,4,8,20,22
3,4,7,7,9,7,9,2,4,6,8,7,4,4,0,4,6,7,7,9,6,5,8,8,10,11,10,4,5,7,9,6,11,11,10,2,7,8,10,13,11,11,46,35,39,56,59,62,spatial,3,4,7,7,9,7,9,2,4,6,8,7,4,4,0,4,6,7,7,9,6,46,35,39
3,5,8,7,7,8,3,3,4,6,5,6,4,4,4,5,3,8,8,9,6,0,1,0,4,4,5,4,1,0,1,2,4,1,2,0,1,1,2,3,3,0,41,32,43,18,11,10,spatial,3,5,8,7,7,8,3,3,4,6,5,6,4,4,4,5,3,8,8,9,6,41,32,43
7,5,9,8,9,9,5,3,6,6,4,7,6,5,2,5,4,8,7,6,2,0,1,5,5,5,5,6,0,1,3,5,6,3,1,0,1,0,1,2,4,2,52,37,34,27,19,10,spatial,7,5,9,8,9,9,5,3,6,6,4,7,6,5,2,5,4,8,7,6,2,52,37,34
4,6,6,5,6,5,5,1,3,3,4,5,5,2,3,3,2,4,5,4,2,1,2,4,2,5,3,2,1,1,3,2,0,1,2,1,0,1,0,1,1,1,37,23,23,19,10,5,spatial,4,6,6,5,6,5,5,1,3,3,4,5,5,2,3,3,2,4,5,4,2,37,23,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verbal,11,12,14,14,16,16,14,12,11,9,13,12,10,9,11,12,14,13,14,14,11,97,76,89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verbal,2,4,4,7,8,8,6,3,4,5,7,5,5,4,3,2,3,1,4,5,3,39,33,21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verbal,0,4,9,6,11,11,8,1,1,2,3,5,5,2,0,2,1,2,4,6,6,49,19,21
